Biomarker Name,ID,Exhaustive Synonyms,Type
HNF1A,,,Karyotype
KCNJ11,,,Karyotype
PMM2,,,Karyotype
WFS1,,,Karyotype
GCK,,,Karyotype
ABCC8,,,Karyotype
AKT2,,,Karyotype
CAPN3,,,Karyotype
GPD2,,,Karyotype
INSR,,,Karyotype
MAPK8IP1,,,Karyotype
NEUROD1,,,Karyotype
PAX4,,,Karyotype
PDX1,,,Karyotype
SLC2A2,,,Karyotype
MSH3,,,Karyotype
ACAT1,,,Karyotype
ALDH7A1,,,Karyotype
ARSA,,,Karyotype
ATP1A3,,,Karyotype
CEP290,,,Karyotype
MECP2,,,Karyotype
POLR1C,,,Karyotype
UROS,,,Karyotype
WWOX,,,Karyotype
ETHE1,,,Karyotype
F5,,,Karyotype
GLUD1,,,Karyotype
MYH6,,,Karyotype
ACTC1,,,Karyotype
ACTN2,,,Karyotype
MYL3,,,Karyotype
GAA,,,Karyotype
TCAP,,,Karyotype
DES,,,Karyotype
TTPA,,,Karyotype
MEFV,,,Karyotype
RET,,,Karyotype
FANCA,,,Karyotype
FANCC,,,Karyotype
FANCD2,,,Karyotype
FANCF,,,Karyotype
FANCG,,,Karyotype
FANCI,,,Karyotype
FANCL,,,Karyotype
FANCM,,,Karyotype
GABRG2,,,Karyotype
FXN,,,Karyotype
GRN,,,Karyotype
FBP1,,,Karyotype
FSHR,,,Karyotype
ABAT,,,Karyotype
ACVR1,,,Karyotype
SLC2A1,,,Karyotype
ETFA,,,Karyotype
ETFDH,,,Karyotype
G6PC,,,Karyotype
GYS2,,,Karyotype
PFKM,,,Karyotype
SLC37A4,,,Karyotype
HPD,,,Karyotype
HAMP,,,Karyotype
HFE,,,Karyotype
HJV,,,Karyotype
TFR2,,,Karyotype
SLC40A1,,,Karyotype
SPTB,,,Karyotype
AXIN1,,,Karyotype
CASP8,,,Karyotype
IGF2R,,,Karyotype
F12,,,Karyotype
CTRC,,,Karyotype
PRSS1,,,Karyotype
SPINK1,,,Karyotype
MMACHC,,,Karyotype
MTR,,,Karyotype
LDLR,,,Karyotype
LPL,,,Karyotype
CASR,,,Karyotype
MEN1,,,Karyotype
PTH,,,Karyotype
AIRE,,,Karyotype
GDAP1,,,Karyotype
TNFRSF13B,,,Karyotype
PEX12,,,Karyotype
ACAD8,,,Karyotype
ARHGAP26,,,Karyotype
OTC,,,Karyotype
BCS1L,,,Karyotype
FOXRED1,,,Karyotype
NDUFAF2,,,Karyotype
NDUFS4,,,Karyotype
SURF1,,,Karyotype
COX15,,,Karyotype
SNCA,,,Karyotype
SNCB,,,Karyotype
ATP7B,,,Karyotype
HADHA,,,Karyotype
SLC7A7,,,Karyotype
MLYCD,,,Karyotype
BCKDHA,,,Karyotype
BCKDHB,,,Karyotype
DBT,,,Karyotype
ACADM,,,Karyotype
SUFU,,,Karyotype
CDK4,,,Karyotype
MITF,,,Karyotype
STK11,,,Karyotype
MAT1A,,,Karyotype
MVK,,,Karyotype
ARSB,,,Karyotype
LIG4,,,Karyotype
ANO5,,,Karyotype
COL6A2,,,Karyotype
FKRP,,,Karyotype
NEB,,,Karyotype
POMT2,,,Karyotype
SGCA,,,Karyotype
MFRP,,,Karyotype
NPHS1,,,Karyotype
B2M,,,Karyotype
CASP10,,,Karyotype
GLDC,,,Karyotype
MC4R,,,Karyotype
IRF6,,,Karyotype
LRP6,,,Karyotype
OPCML,,,Karyotype
RRAS2,,,Karyotype
ACVR1B,,,Karyotype
GBA,,,Karyotype
FBXO7,,,Karyotype
FOXI1,,,Karyotype
CYP7B1,,,Karyotype
MFN2,,,Karyotype
NEFL,,,Karyotype
PMP22,,,Karyotype
KIF1B,,,Karyotype
SDHA,,,Karyotype
SDHB,,,Karyotype
SDHD,,,Karyotype
TMEM127,,,Karyotype
VHL,,,Karyotype
PHGDH,,,Karyotype
ATP8B1,,,Karyotype
ABCB11,,,Karyotype
ABCB4,,,Karyotype
TJP2,,,Karyotype
PEPD,,,Karyotype
PCCA,,,Karyotype
PCCB,,,Karyotype
AR,,,Karyotype
MXI1,,,Karyotype
PNP,,,Karyotype
PDHA1,,,Karyotype
PDHX,,,Karyotype
ACADVL,,,Karyotype
SCN4A,,,Karyotype
PEX5,,,Karyotype
PEX7,,,Karyotype
ABCG5,,,Karyotype
ABCG8,,,Karyotype
DHCR7,,,Karyotype
IRF1,,,Karyotype
KLF6,,,Karyotype
NOTCH3,,,Karyotype
ALDH5A1,,,Karyotype
SUOX,,,Karyotype
DICER1,,,Karyotype
TALDO1,,,Karyotype
FMO3,,,Karyotype
BBS1,,,Karyotype
PCDH15,,,Karyotype
PROM1,,,Karyotype
USH1C,,,Karyotype
ESPN,,,Karyotype
GPC3,,,Karyotype
WT1,,,Karyotype
PEX1,,,Karyotype
PEX3,,,Karyotype
PEX6,,,Karyotype
EFHC1,,,Karyotype
L2HGDH,,,Karyotype
GALNS,,,Karyotype
IRF5,,,Karyotype
FLNC,,,Karyotype
CSRP3,,,Karyotype
NEXN,,,Karyotype
FANCE,,,Karyotype
ERCC4,,,Karyotype
RAD51,,,Karyotype
GCDH,,,Karyotype
GGCX,,,Karyotype
VKORC1,,,Karyotype
MYOC,,,Karyotype
NTF4,,,Karyotype
CYP1B1,,,Karyotype
LTBP2,,,Karyotype
TEK,,,Karyotype
BMP4,,,Karyotype
MSX1,,,Karyotype
MET,,,Karyotype
GFAP,,,Karyotype
PAX6,,,Karyotype
PKHD1,,,Karyotype
ASPM,,,Karyotype
ARL6,,,Karyotype
BBS12,,,Karyotype
BBS2,,,Karyotype
BBS4,,,Karyotype
BBS5,,,Karyotype
BBS7,,,Karyotype
MKKS,,,Karyotype
SDCCAG8,,,Karyotype
TRIM32,,,Karyotype
TTC8,,,Karyotype
MPZ,,,Karyotype
BSCL2,,,Karyotype
ATP7A,,,Karyotype
CTDP1,,,Karyotype
DNM2,,,Karyotype
FGD4,,,Karyotype
GJB1,,,Karyotype
HSPB1,,,Karyotype
HSPB8,,,Karyotype
IGHMBP2,,,Karyotype
INF2,,,Karyotype
LITAF,,,Karyotype
NDRG1,,,Karyotype
NTRK1,,,Karyotype
SBF2,,,Karyotype
SH3TC2,,,Karyotype
SLC12A6,,,Karyotype
SPTLC1,,,Karyotype
SPTLC2,,,Karyotype
TRPV4,,,Karyotype
CHD7,,,Karyotype
SEMA3E,,,Karyotype
COL1A1,,,Karyotype
COL1A2,,,Karyotype
COL5A2,,,Karyotype
KCNE1,,,Karyotype
ABCC6,,,Karyotype
APOB,,,Karyotype
GALT,,,Karyotype
SDHC,,,Karyotype
AIP,,,Karyotype
APC,,,Karyotype
BMPR1A,,,Karyotype
SDHAF2,,,Karyotype
SMARCB1,,,Karyotype
CC2D2A,,,Karyotype
INPP5E,,,Karyotype
RPGRIP1L,,,Karyotype
TMEM216,,,Karyotype
TMEM67,,,Karyotype
DYSF,,,Karyotype
GNPTAB,,,Karyotype
GLB1,,,Karyotype
GLIS2,,,Karyotype
INVS,,,Karyotype
IQCB1,,,Karyotype
NPHP1,,,Karyotype
NPHP4,,,Karyotype
CLN3,,,Karyotype
CLN5,,,Karyotype
CLN6,,,Karyotype
CLN8,,,Karyotype
PPT1,,,Karyotype
TPP1,,,Karyotype
SMPD1,,,Karyotype
MFSD8,,,Karyotype
CRTAP,,,Karyotype
FKBP10,,,Karyotype
DNAAF1,,,Karyotype
DNAH11,,,Karyotype
DNAH5,,,Karyotype
DNAI1,,,Karyotype
DNAI2,,,Karyotype
RPGR,,,Karyotype
RSPH4A,,,Karyotype
RSPH9,,,Karyotype
ACVRL1,,,Karyotype
BMPR2,,,Karyotype
ENG,,,Karyotype
BEST1,,,Karyotype
CERKL,,,Karyotype
CLRN1,,,Karyotype
CNGA1,,,Karyotype
CNGB1,,,Karyotype
COL18A1,,,Karyotype
CRB1,,,Karyotype
CRX,,,Karyotype
EYS,,,Karyotype
FAM161A,,,Karyotype
IMPG2,,,Karyotype
KLHL7,,,Karyotype
MERTK,,,Karyotype
PANK2,,,Karyotype
PDE6A,,,Karyotype
PDE6B,,,Karyotype
PDE6G,,,Karyotype
PHYH,,,Karyotype
PRCD,,,Karyotype
PRPF3,,,Karyotype
PRPF31,,,Karyotype
PRPF8,,,Karyotype
PRPH2,,,Karyotype
RDH12,,,Karyotype
RHO,,,Karyotype
RLBP1,,,Karyotype
RP1,,,Karyotype
RP1L1,,,Karyotype
RP2,,,Karyotype
RPE65,,,Karyotype
SAG,,,Karyotype
SNRNP200,,,Karyotype
SPATA7,,,Karyotype
TOPORS,,,Karyotype
TULP1,,,Karyotype
ACTA1,,,Karyotype
ACTB,,,Karyotype
ACTG1,,,Karyotype
AGL,,,Karyotype
ALG1,,,Karyotype
ALG3,,,Karyotype
ALX4,,,Karyotype
AP4M1,,,Karyotype
ARX,,,Karyotype
ATP13A2,,,Karyotype
ATP1A2,,,Karyotype
ATP6V0A4,,,Karyotype
ATP6V1B1,,,Karyotype
ATRX,,,Karyotype
AVPR2,,,Karyotype
BCOR,,,Karyotype
CACNA1A,,,Karyotype
CANT1,,,Karyotype
CASK,,,Karyotype
CD40LG,,,Karyotype
CDC73,,,Karyotype
CHRNG,,,Karyotype
CLCN5,,,Karyotype
COL2A1,,,Karyotype
COL6A3,,,Karyotype
COL7A1,,,Karyotype
COL9A3,,,Karyotype
CREBBP,,,Karyotype
CRYAA,,,Karyotype
CRYBA1,,,Karyotype
CSTB,,,Karyotype
CTSK,,,Karyotype
CUL4B,,,Karyotype
CUL7,,,Karyotype
DARS2,,,Karyotype
DDX11,,,Karyotype
DLD,,,Karyotype
DLG3,,,Karyotype
DNM1L,,,Karyotype
DOCK8,,,Karyotype
DOK7,,,Karyotype
DPAGT1,,,Karyotype
EDA,,,Karyotype
EFNB1,,,Karyotype
ELN,,,Karyotype
ERCC2,,,Karyotype
ERCC6,,,Karyotype
EYA4,,,Karyotype
FA2H,,,Karyotype
FGD1,,,Karyotype
FN1,,,Karyotype
FOXG1,,,Karyotype
FOXP2,,,Karyotype
FTSJ1,,,Karyotype
GAN,,,Karyotype
GBE1,,,Karyotype
GFER,,,Karyotype
GJC2,,,Karyotype
GLI2,,,Karyotype
GPR143,,,Karyotype
GUCY2D,,,Karyotype
HDAC4,,,Karyotype
HEXA,,,Karyotype
HIBCH,,,Karyotype
HMGCL,,,Karyotype
HNF4A,,,Karyotype
HSD17B3,,,Karyotype
IGF1R,,,Karyotype
IL2RG,,,Karyotype
IQSEC2,,,Karyotype
ITK,,,Karyotype
JAG1,,,Karyotype
KCNA1,,,Karyotype
KCNC3,,,Karyotype
KCNQ2,,,Karyotype
LAMA2,,,Karyotype
LCA5,,,Karyotype
LMBRD1,,,Karyotype
LRP5,,,Karyotype
LRRK2,,,Karyotype
LRTOMT,,,Karyotype
MAN2B1,,,Karyotype
MCOLN1,,,Karyotype
MED13L,,,Karyotype
MRPS22,,,Karyotype
MTRR,,,Karyotype
MYCN,,,Karyotype
MYH3,,,Karyotype
MYO15A,,,Karyotype
NAGLU,,,Karyotype
NPC1,,,Karyotype
NUBPL,,,Karyotype
OCA2,,,Karyotype
OCRL,,,Karyotype
OTX2,,,Karyotype
PAX2,,,Karyotype
PAX9,,,Karyotype
PCDH19,,,Karyotype
PCNT,,,Karyotype
PEX10,,,Karyotype
PHF6,,,Karyotype
PHF8,,,Karyotype
PHKA2,,,Karyotype
PLP1,,,Karyotype
PNKP,,,Karyotype
POLH,,,Karyotype
POMC,,,Karyotype
PQBP1,,,Karyotype
PRF1,,,Karyotype
PRODH,,,Karyotype
PRPS1,,,Karyotype
PYCR1,,,Karyotype
PYGM,,,Karyotype
RAB23,,,Karyotype
RAB3GAP1,,,Karyotype
RAB3GAP2,,,Karyotype
RAI1,,,Karyotype
RARS2,,,Karyotype
RBM10,,,Karyotype
RECQL4,,,Karyotype
RELN,,,Karyotype
RFXANK,,,Karyotype
RPS6KA3,,,Karyotype
RSPO4,,,Karyotype
RYR1,,,Karyotype
SACS,,,Karyotype
SAMD9,,,Karyotype
SATB2,,,Karyotype
SBDS,,,Karyotype
SCN8A,,,Karyotype
SCN9A,,,Karyotype
SETBP1,,,Karyotype
SGSH,,,Karyotype
SH2D1A,,,Karyotype
SLC16A2,,,Karyotype
SLC22A5,,,Karyotype
SLC25A4,,,Karyotype
SLC26A2,,,Karyotype
SLC27A4,,,Karyotype
SLC6A8,,,Karyotype
SMC1A,,,Karyotype
SMC3,,,Karyotype
SOX2,,,Karyotype
SPG7,,,Karyotype
SPRED1,,,Karyotype
SYNGAP1,,,Karyotype
TBC1D24,,,Karyotype
TBX19,,,Karyotype
TFAP2A,,,Karyotype
TGM5,,,Karyotype
TH,,,Karyotype
TMPRSS3,,,Karyotype
TNXB,,,Karyotype
TPM3,,,Karyotype
TRMU,,,Karyotype
TRPS1,,,Karyotype
TSEN54,,,Karyotype
TUBA1A,,,Karyotype
TUBB,,,Karyotype
TUBB3,,,Karyotype
TYR,,,Karyotype
UBE3A,,,Karyotype
UGT1A1,,,Karyotype
VPS33B,,,Karyotype
WDR62,,,Karyotype
WDR72,,,Karyotype
WNT10A,,,Karyotype
XYLT2,,,Karyotype
ZDHHC9,,,Karyotype
ZEB2,,,Karyotype
AIPL1,,,Karyotype
C1QTNF5,,,Karyotype
CABP4,,,Karyotype
CACNA1F,,,Karyotype
CDHR1,,,Karyotype
CNGB3,,,Karyotype
CYP4V2,,,Karyotype
EFEMP1,,,Karyotype
ELOVL4,,,Karyotype
GRM6,,,Karyotype
HGSNAT,,,Karyotype
KCNV2,,,Karyotype
LRAT,,,Karyotype
NYX,,,Karyotype
OAT,,,Karyotype
RGR,,,Karyotype
RPGRIP1,,,Karyotype
RS1,,,Karyotype
TRPM1,,,Karyotype
VCAN,,,Karyotype
COCH,,,Karyotype
COL11A2,,,Karyotype
DIAPH1,,,Karyotype
EDNRB,,,Karyotype
EYA1,,,Karyotype
KCNQ4,,,Karyotype
MYH9,,,Karyotype
MYO6,,,Karyotype
OTOA,,,Karyotype
PAX3,,,Karyotype
POU3F4,,,Karyotype
RDX,,,Karyotype
STRC,,,Karyotype
AGXT,,,Karyotype
ACHE,,,Karyotype
CD40,,,Karyotype
CETP,,,Karyotype
MMP2,,,Karyotype
CR2,,,Karyotype
C3,,,Karyotype
CTLA4,,,Karyotype
IL10,,,Karyotype
TMPRSS5,,,Karyotype
CFH,,,Karyotype
NR3C1,,,Karyotype
CFB,,,Karyotype
NRG1,,,Karyotype
HLA-DQA1,,,Karyotype
ITPR3,,,Karyotype
SOD2,,,Karyotype
IL2,,,Karyotype
LAMC2,,,Karyotype
LAMC1,,,Karyotype
PTPRC,,,Karyotype
LEF1,,,Karyotype
MSMB,,,Karyotype
IL12B,,,Karyotype
NOS3,,,Karyotype
PBX1,,,Karyotype
TYK2,,,Karyotype
SORD,,,Karyotype
KITLG,,,Karyotype
TG,,,Karyotype
ERBB3,,,Karyotype
TGFB1,,,Karyotype
CFI,,,Karyotype
CNTN1,,,Karyotype
PDE4D,,,Karyotype
KCNMA1,,,Karyotype
NOTCH2,,,Karyotype
PLA2G4A,,,Karyotype
CPT2,,,Karyotype
TNNT3,,,Karyotype
CEBPE,,,Karyotype
SYN2,,,Karyotype
LAMA3,,,Karyotype
EDAR,,,Karyotype
BIN1,,,Karyotype
DAZL,,,Karyotype
PITX2,,,Karyotype
TBX3,,,Karyotype
TWIST1,,,Karyotype
TBX4,,,Karyotype
TBX1,,,Karyotype
SH3BP2,,,Karyotype
FGF10,,,Karyotype
PITX1,,,Karyotype
TERC,,,Karyotype
MAD1L1,,,Karyotype
PSMA6,,,Karyotype
MAPK10,,,Karyotype
NOG,,,Karyotype
TNFSF4,,,Karyotype
KCNE2,,,Karyotype
HLA-DQB1,,,Karyotype
ACSL6,,,Karyotype
CNTNAP2,,,Karyotype
ACTN4,,,Karyotype
TAB2,,,Karyotype
SPINT2,,,Karyotype
HCN4,,,Karyotype
JPH3,,,Karyotype
APOA5,,,Karyotype
BSND,,,Karyotype
NLRP1,,,Karyotype
COG5,,,Karyotype
TPH2,,,Karyotype
CRTC1,,,Karyotype
MAML2,,,Karyotype
SLC17A8,,,Karyotype
KANK1,,,Karyotype
PLEKHA1,,,Karyotype
IGF2BP2,,,Karyotype
ESR2,,,Karyotype
NFKB1,,,Karyotype
EHBP1,,,Karyotype
GLIS3,,,Karyotype
SLC30A8,,,Karyotype
NAT2,,,Karyotype
SLC29A3,,,Karyotype
FBN2,,,Karyotype
RNASET2,,,Karyotype
CCR3,,,Karyotype
CCR6,,,Karyotype
CD226,,,Karyotype
CD46,,,Karyotype
CHRM3,,,Karyotype
CLCA2,,,Karyotype
CLU,,,Karyotype
CTNNA3,,,Karyotype
DIO1,,,Karyotype
DLGAP2,,,Karyotype
MTNR1B,,,Karyotype
FLT1,,,Karyotype
GAB2,,,Karyotype
GFRA1,,,Karyotype
GORAB,,,Karyotype
FMN1,,,Karyotype
GRIN2B,,,Karyotype
GRK5,,,Karyotype
GSDMA,,,Karyotype
HACE1,,,Karyotype
HCN1,,,Karyotype
HHEX,,,Karyotype
HLA-DOA,,,Karyotype
HLA-DRA,,,Karyotype
HLA-DRB1,,,Karyotype
HTR3B,,,Karyotype
IL12RB2,,,Karyotype
ITGA11,,,Karyotype
ITIH3,,,Karyotype
KCNIP4,,,Karyotype
KCNN3,,,Karyotype
KIAA0513,,,Karyotype
KLK3,,,Karyotype
MAST4,,,Karyotype
MCM3AP,,,Karyotype
GRHL1,,,Karyotype
MMADHC,,,Karyotype
MMP7,,,Karyotype
MTHFD1L,,,Karyotype
MUC1,,,Karyotype
NBEA,,,Karyotype
NEDD4L,,,Karyotype
NGFR,,,Karyotype
NOS1,,,Karyotype
NRXN3,,,Karyotype
MACF1,,,Karyotype
PHLPP2,,,Karyotype
PLEC,,,Karyotype
PRKCB,,,Karyotype
JRK,,,Karyotype
PTGIR,,,Karyotype
RAD52,,,Karyotype
SLC7A10,,,Karyotype
SORBS1,,,Karyotype
SPRY2,,,Karyotype
TGFBR3,,,Karyotype
TNS3,,,Karyotype
WDR36,,,Karyotype
ZPLD1,,,Karyotype
SPIB,,,Karyotype
PPP2R5C,,,Karyotype
ATF7IP,,,Karyotype
AFF1,,,Karyotype
DUSP22,,,Karyotype
ARMS2,,,Karyotype
HTRA1,,,Karyotype
SYN3,,,Karyotype
ALDH1A2,,,Karyotype
COL10A1,,,Karyotype
HLA-B,,,Karyotype
NCR3,,,Karyotype
TREM2,,,Karyotype
WNT3,,,Karyotype
RPS26,,,Karyotype
CXCR4,,,Karyotype
SLC14A1,,,Karyotype
GALC,,,Karyotype
RORA,,,Karyotype
SERPINH1,,,Karyotype
NPAS3,,,Karyotype
MAD2L1,,,Karyotype
FUT2,,,Karyotype
WNT4,,,Karyotype
GABRA2,,,Karyotype
ADH4,,,Karyotype
HCP5,,,Karyotype
HLA-DRB5,,,Karyotype
ELP4,,,Karyotype
UST,,,Karyotype
ABCA1,,,Karyotype
MICA,,,Karyotype
PER2,,,Karyotype
APOM,,,Karyotype
IGFBP3,,,Karyotype
TAAR6,,,Karyotype
POU4F3,,,Karyotype
TRPM3,,,Karyotype
CHRM2,,,Karyotype
IFRD1,,,Karyotype
CD58,,,Karyotype
CYP17A1,,,Karyotype
IL10RB,,,Karyotype
HLA-A,,,Karyotype
NEGR1,,,Karyotype
LCT,,,Karyotype
SREBF1,,,Karyotype
MSR1,,,Karyotype
LHCGR,,,Karyotype
MLPH,,,Karyotype
OPHN1,,,Karyotype
RAD23B,,,Karyotype
SLC22A2,,,Karyotype
SIX1,,,Karyotype
CAST,,,Karyotype
SUMF1,,,Karyotype
ITIH4,,,Karyotype
BDNF,,,Karyotype
SLC12A1,,,Karyotype
SLC22A11,,,Karyotype
FOXE1,,,Karyotype
PTPN22,,,Karyotype
LPIN2,,,Karyotype
KCNQ1OT1,,,Karyotype
ANK1,,,Karyotype
ROR2,,,Karyotype
HOXA13,,,Karyotype
GZMB,,,Karyotype
LIMK1,,,Karyotype
HLA-G,,,Karyotype
APOC3,,,Karyotype
GRB10,,,Karyotype
CTNND2,,,Karyotype
CHRNA5,,,Karyotype
ACAN,,,Karyotype
ZBTB16,,,Karyotype
F2,,,Karyotype
DDR2,,,Karyotype
SS18,,,Karyotype
ZFPM2,,,Karyotype
CHST6,,,Karyotype
CFHR3,,,Karyotype
GFM1,,,Karyotype
IVD,,,Karyotype
SRD5A2,,,Karyotype
ABCC1,,,Karyotype
AKAP13,,,Karyotype
ANGPT1,,,Karyotype
ATL1,,,Karyotype
CSMD1,,,Karyotype
GRID1,,,Karyotype
MMP14,,,Karyotype
MUC2,,,Karyotype
PPARGC1A,,,Karyotype
SHROOM3,,,Karyotype
SLC17A1,,,Karyotype
TIMP2,,,Karyotype
TNR,,,Karyotype
TWIST2,,,Karyotype
DPP6,,,Karyotype
ERAP1,,,Karyotype
CARD16,,,Karyotype
FGF3,,,Karyotype
GOSR2,,,Karyotype
ADRA2A,,,Karyotype
PROCR,,,Karyotype
ERBB4,,,Karyotype
CHST3,,,Karyotype
MTND4P19,,,Karyotype
PRMT5P1,,,Karyotype
TMF1P1,,,Karyotype
HNF1A-AS1,,,Karyotype
LINC00485,,,Karyotype
RNU4-17P,,,Karyotype
MRPS5P4,,,Karyotype
PITPNB,,,Karyotype
CCL7,,,Karyotype
PGAP3,,,Karyotype
LINC02260,,,Karyotype
LINC01488,,,Karyotype
CCDC91,,,Karyotype
RN7SKP15,,,Karyotype
SMCR2,,,Karyotype
HAP1,,,Karyotype
ATE1,,,Karyotype
LINC01229,,,Karyotype
RPL3,,,Karyotype
FAM167A,,,Karyotype
PDILT,,,Karyotype
CTDSP1,,,Karyotype
RNU6-394P,,,Karyotype
ADAMTS20,,,Karyotype
RPL36AP1,,,Karyotype
CAV2,,,Karyotype
GATD3,,,Karyotype
RNU6-1091P,,,Karyotype
SPMIP7,,,Karyotype
LINC02695,,,Karyotype
MIR4693,,,Karyotype
JAKMIP1-DT,,,Karyotype
TMEM97P2,,,Karyotype
C1orf141,,,Karyotype
LINC02929,,,Karyotype
SMIM3,,,Karyotype
IFNLR1,,,Karyotype
LRRK2-DT,,,Karyotype
FAM163B,,,Karyotype
LINC02318,,,Karyotype
RPL30P9,,,Karyotype
RPL29P16,,,Karyotype
CDC5L,,,Karyotype
MIR3939,,,Karyotype
APOC1P1,,,Karyotype
GALNT17,,,Karyotype
RNU6-1133P,,,Karyotype
SMARCE1,,,Karyotype
PSMC1P3,,,Karyotype
RIGI,,,Karyotype
SLC25A38P1,,,Karyotype
TMCO5B,,,Karyotype
USP8P1,,,Karyotype
BRD2,,,Karyotype
HLA-DRB9,,,Karyotype
TSBP1-AS1,,,Karyotype
DEFA10P,,,Karyotype
SLC9A4,,,Karyotype
LINC02705,,,Karyotype
KAZN,,,Karyotype
KDM4A,,,Karyotype
SKIC2,,,Karyotype
LINC02513,,,Karyotype
TMSB4X,,,Karyotype
ALDH9A1,,,Karyotype
DELEC1,,,Karyotype
BCLAF1P1,,,Karyotype
MAGOH3P,,,Karyotype
IGHV3-71,,,Karyotype
TRAJ9,,,Karyotype
RN7SKP211,,,Karyotype
NFU1P1,,,Karyotype
MMADHC-DT,,,Karyotype
RIT2,,,Karyotype
NPFFR1,,,Karyotype
ARID5B,,,Karyotype
CCDC26,,,Karyotype
METAP2P1,,,Karyotype
CASC17,,,Karyotype
RPL41P1,,,Karyotype
TNFRSF10A-DT,,,Karyotype
REST,,,Karyotype
C2-AS1,,,Karyotype
GALR1,,,Karyotype
ERICH1,,,Karyotype
LINC01101,,,Karyotype
NECTIN2,,,Karyotype
EIF3KP3,,,Karyotype
LINC00861,,,Karyotype
MIR29B2CHG,,,Karyotype
LINC01048,,,Karyotype
LINC02836,,,Karyotype
DAPK3,,,Karyotype
CLIC5,,,Karyotype
RPL21P47,,,Karyotype
LINC01741,,,Karyotype
C1DP5,,,Karyotype
LINC02537,,,Karyotype
COL8A1,,,Karyotype
SLC16A8,,,Karyotype
LINC00243,,,Karyotype
MCUB,,,Karyotype
RAD51B,,,Karyotype
ADAMTS9-AS2,,,Karyotype
B3GLCT,,,Karyotype
SLC1A3-AS1,,,Karyotype
OSTCP2,,,Karyotype
SIGLEC5,,,Karyotype
FCER1G,,,Karyotype
LINC02757,,,Karyotype
CLEC16A,,,Karyotype
GTF3AP1,,,Karyotype
LINC00299,,,Karyotype
SLC25A46,,,Karyotype
LINC02676,,,Karyotype
ADAD1,,,Karyotype
PSMD3,,,Karyotype
TH2LCRR,,,Karyotype
FLG,,,Karyotype
RERE,,,Karyotype
RPL13AP18,,,Karyotype
ZNF217,,,Karyotype
BACH2,,,Karyotype
HDAC7,,,Karyotype
ZNF652,,,Karyotype
NDFIP1,,,Karyotype
LAYN,,,Karyotype
EEF1A1P27,,,Karyotype
ANAPC1,,,Karyotype
COL21A1,,,Karyotype
ABCA7,,,Karyotype
PTK2B,,,Karyotype
EPHA1-AS1,,,Karyotype
ZCWPW1,,,Karyotype
GPR141,,,Karyotype
FERMT2,,,Karyotype
CELF1,,,Karyotype
INPP5D,,,Karyotype
MEF2C-AS1,,,Karyotype
CASS4,,,Karyotype
LINC02360,,,Karyotype
NDUFAF6,,,Karyotype
USP6NL-AS1,,,Karyotype
SPPL2A,,,Karyotype
LINC01031,,,Karyotype
TRIP4,,,Karyotype
ZNF594-DT,,,Karyotype
AP2A2,,,Karyotype
SIGLEC22P,,,Karyotype
LINC00470,,,Karyotype
SUDS3,,,Karyotype
FBXL7,,,Karyotype
CACNA2D3,,,Karyotype
PDE1A,,,Karyotype
FBXO40,,,Karyotype
DAPL1,,,Karyotype
RPS27P10,,,Karyotype
LINC01684,,,Karyotype
LINC02500,,,Karyotype
RPL7AP36,,,Karyotype
IMMP2L,,,Karyotype
CADM2,,,Karyotype
MS4A4A,,,Karyotype
ARL17B,,,Karyotype
CDC42SE2,,,Karyotype
PFDN1,,,Karyotype
MEIKIN,,,Karyotype
FNIP1,,,Karyotype
CLDN18,,,Karyotype
RAPGEF6,,,Karyotype
HID1-AS1,,,Karyotype
SH2D4B,,,Karyotype
FAM157D,,,Karyotype
RN7SL691P,,,Karyotype
PPIAP17,,,Karyotype
LINC02210-CRHR1,,,Karyotype
TSEN15P3,,,Karyotype
IL21-AS1,,,Karyotype
LINC02667,,,Karyotype
SERINC5,,,Karyotype
GAPDHP15,,,Karyotype
TMEM106B,,,Karyotype
FRMD4A,,,Karyotype
UNC13A,,,Karyotype
STK36,,,Karyotype
KRT18P55,,,Karyotype
LINC02508,,,Karyotype
PIGL,,,Karyotype
C9orf72,,,Karyotype
RNU6-745P,,,Karyotype
DNAJC8P3,,,Karyotype
SMIM2-AS1,,,Karyotype
KIRREL3-AS3,,,Karyotype
CPNE4,,,Karyotype
CFAP410,,,Karyotype
TBK1,,,Karyotype
TNIP1,,,Karyotype
RPS18P12,,,Karyotype
LINC03021,,,Karyotype
SCFD1,,,Karyotype
RNU6-334P,,,Karyotype
LINC02405,,,Karyotype
TAFA2,,,Karyotype
SORCS2,,,Karyotype
HLA-DQB2,,,Karyotype
TNPO3,,,Karyotype
SCHLAP1,,,Karyotype
YWHAQP7,,,Karyotype
OR4A15,,,Karyotype
COL25A1,,,Karyotype
UBE2L3,,,Karyotype
MIR3142HG,,,Karyotype
PHRF1,,,Karyotype
LINC01701,,,Karyotype
RDUR,,,Karyotype
LINC01708,,,Karyotype
TEX41,,,Karyotype
DOCK6,,,Karyotype
FAM167A-AS1,,,Karyotype
TIMMDC1,,,Karyotype
JMJD1C,,,Karyotype
REEP3,,,Karyotype
IRAIN,,,Karyotype
PBX2,,,Karyotype
TSBP1,,,Karyotype
USP38-DT,,,Karyotype
HLA-DQB3,,,Karyotype
CDK2,,,Karyotype
GAB1,,,Karyotype
HLA-DPA1,,,Karyotype
